link,caption
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_149.jpg,a little girl in a dress and a tie
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_146.jpg,a woman in a dress shirt and tie 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_11.jpg,a woman in a red dress is holding a pink umbrella 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_129.jpg,a woman in a wedding dress is holding a knife 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_131.jpg,a black and white photo of a man wearing a hat 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_112.jpg,a young girl wearing a pink dress holding a pink umbrella 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_105.jpg,a woman wearing a pink hat and holding an umbrella 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_117.jpg,a woman in a dress shirt and a tie 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_123.jpg,a woman in a bikini standing on a boat 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_114.jpg,a man and a woman standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_137.jpg,a group of people standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_100.jpg,a woman standing next to a woman in a dress 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_133.jpg,a group of people standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_103.jpg,a close up of a vase with flowers in it
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_109.jpg,a couple of women standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_141.jpg,a woman standing in front of a window 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_134.jpg,a bride and groom standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_120.jpg,a group of people standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_15.jpg,a woman in a red dress and a red tie
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_118.jpg,a woman in a dress holding a teddy bear 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_152.jpg,a woman in a pink shirt holding a toothbrush 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_154.jpg,a woman in a dress is holding a teddy bear 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_155.jpg,a group of women standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_163.jpg,a woman in a dress shirt and tie 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_166.jpg,a woman sitting on a bench in a park 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_170.jpg,a woman in a pink shirt holding a pink umbrella 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_160.jpg,a woman standing in front of a window 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_157.jpg,a woman in a dress shirt and tie standing in a room 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_165.jpg,a woman standing in front of a bathroom mirror 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_182.jpg,a group of children standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_167.jpg,a man riding on the back of a motorcycle down a street 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_175.jpg,a woman standing in front of a cake on a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_16.jpg,a couple of women standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_19.jpg,a woman is standing in front of a window
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_186.jpg,a woman in a pink dress is talking on a cellphone
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_183.jpg,a group of people standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_18.jpg,a woman in a dress shirt and a tie
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_159.jpg,a woman in a bikini standing next to a man 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_172.jpg,a woman in a dress holding a pink umbrella 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_188.jpg,a woman holding a tennis racket in her hand 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_176.jpg,a group of people posing for a picture 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_164.jpg,a group of people standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_192.jpg,a group of women standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_202.jpg,a woman in a dress is holding an umbrella 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_153.jpg,a woman in a dress standing in a field 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_171.jpg,a woman in a dress is standing in a field
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_162.jpg,a man in a suit and tie standing next to a woman 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_169.jpg,a group of people standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_174.jpg,a woman standing in front of a building holding a cell phone 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_194.jpg,a woman standing in front of a stone wall 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_158.jpg,a group of people standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_189.jpg,a woman in a dress shirt and tie holding a teddy bear 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_168.jpg,a group of women standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_177.jpg,a woman in a dress holding a bouquet of flowers 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_185.jpg,a bride and groom standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_178.jpg,a woman in a red dress and a black and white umbrella
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_173.jpg,a woman sitting on a bench in a park 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_184.jpg,a man wearing a hat and a hat 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_180.jpg,a man and a woman pose for a picture 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_204.jpg,a woman sitting on a bench in a park 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_198.jpg,a woman in a dress standing in a field 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_197.jpg,a woman holding a knife and cutting a piece of cake 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_181.jpg,a woman in a dress is holding a teddy bear 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_191.jpg,a woman is sitting on a bench with her legs crossed 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_179.jpg,a woman in a dress shirt and tie standing in a room 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_17.jpg,a woman in a dress and a tie is standing in a forest 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_187.jpg,a woman in a dress is holding a teddy bear 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_161.jpg,a woman sitting on a bench talking on a cell phone 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_195.jpg,a woman in a dress holding an umbrella 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_156.jpg,a group of people standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_200.jpg,a woman in a dress holding a pink umbrella 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_196.jpg,a woman in a dress holding an umbrella 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_203.jpg,a little girl holding a pink umbrella in her hands 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_193.jpg,a woman in a dress is standing in a room
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_205.jpg,a couple of women standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_201.jpg,a woman is holding a banana and smiling 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_199.jpg,a woman holding a nintendo wii game controller 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_211.jpg,a group of people standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_207.jpg,a woman in a dress is standing in a field
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_206.jpg,a woman in a suit and tie standing next to a building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_20.jpg,a woman is holding a bouquet of flowers 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_190.jpg,a group of people standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_24.jpg,a woman in a dress holding a cell phone 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_208.jpg,a young girl wearing a pink dress holding a pink umbrella 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_209.jpg,a woman in a bikini standing next to a river 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_22.jpg,a woman in a dress shirt and a tie 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_38.jpg,a little girl in a dress and a tie
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_26.jpg,a group of people standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_23.jpg,a woman in a wedding dress is holding a knife 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_47.jpg,a group of people standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_30.jpg,a woman in a dress and a dress shirt and tie
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_51.jpg,a woman in a dress shirt and tie 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_37.jpg,a woman in a dress shirt and tie standing in a forest 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_21.jpg,a woman in a dress holding an umbrella 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_44.jpg,a woman in a suit and tie standing next to a building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_210.jpg,a group of birds sitting on top of a tree 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_2.jpg,a woman in a dress holding a pink umbrella 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_39.jpg,a woman standing in front of a mirror holding a camera 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_59.jpg,a woman in a dress holding a pink umbrella 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_43.jpg,a woman in a dress is holding a teddy bear 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_28.jpg,a group of people standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_27.jpg,a woman standing in a field holding a kite 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_31.jpg,a woman in a bikini standing on a boat 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_46.jpg,a woman standing in front of a wall holding a cell phone 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_35.jpg,a woman standing in front of a tree talking on a cell phone 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_32.jpg,a woman in a dress is holding an umbrella 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_42.jpg,a woman in a dress standing in a field 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_34.jpg,a group of women standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_33.jpg,a woman in a dress holding a pink umbrella 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_40.jpg,a group of women standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_4.jpg,a woman in a dress is holding a cell phone 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_55.jpg,a woman in a dress is standing in a field
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_48.jpg,a little girl holding a pink umbrella in her hands 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_60.jpg,a woman sitting on a bench in a park 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_25.jpg,a group of people riding bikes down a street 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_29.jpg,a group of women standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_52.jpg,a woman in a dress holding a pink umbrella 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_36.jpg,a close up of a clock on a wall
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_45.jpg,a woman in a dress is holding a teddy bear 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_66.jpg,a woman in a dress standing in a forest 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_68.jpg,a woman in a dress sitting on a bench 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_5.jpg,a woman standing next to a woman in a dress 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_58.jpg,a woman in a dress is standing in a field
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_41.jpg,a couple of women standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_6.jpg,a little girl wearing a hat and a hat 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_56.jpg,a group of people standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_54.jpg,a woman in a pink shirt holding a pink umbrella 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_53.jpg,a group of people standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_63.jpg,a woman in a red dress and a black and white umbrella
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_65.jpg,a group of people standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_57.jpg,a woman walking down a street holding an umbrella 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_50.jpg,a couple of women standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_61.jpg,a woman standing in front of a building holding a cell phone 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_64.jpg,a woman in a dress holding a bouquet of flowers 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_7.jpg,a woman sitting on a bench in a park 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_75.jpg,a woman holding a cell phone to her ear 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_49.jpg,a woman in a dress is standing in a field 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_62.jpg,a woman standing in front of a cake on a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_67.jpg,a woman in a bikini standing next to a river 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_74.jpg,a woman sitting at a table with a plate of food 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_72.jpg,a man in a suit and tie standing next to a woman 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_70.jpg,a group of young children standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_80.jpg,a woman is holding a bunch of bananas 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_71.jpg,a woman sitting on a bench talking on a cell phone 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_69.jpg,a woman in a bikini standing next to a man 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_76.jpg,a group of women standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_87.jpg,a woman in a dress shirt and a tie
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_89.jpg,a woman is standing in front of a window
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_83.jpg,a woman holding a knife and cutting a piece of cake 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_79.jpg,a woman in a pink shirt holding a toothbrush 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_84.jpg,a woman in a dress standing in a field 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_73.jpg,a black and white photo of a man with a tie 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_103.jpg,a city street filled with lots of traffic 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_98.jpg,a woman standing in front of a red umbrella 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_78.jpg,a woman in a dress is standing in a room
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_99.jpg,a woman in a dress is holding a cell phone 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_85.jpg,a woman in a dress holding a pink umbrella 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_95.jpg,a young boy wearing a hat and tie 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_77.jpg,a group of people standing around a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_93.jpg,a group of children standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_81.jpg,a woman standing in front of a stone wall 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_97.jpg,a woman in a blue shirt and a tie
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_82.jpg,a woman in a dress holding an umbrella 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_96.jpg,a pair of scissors sitting on top of a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_1.jpg,a large building with a clock on the side of it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_88.jpg,a couple of women standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_90.jpg,a woman in a dress standing in a forest 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_10.jpg,a group of people standing outside of a building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_108.jpg,a large stone building with a clock tower 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_0.jpg,a tall clock tower with a sky background
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_8.jpg,a woman wearing a pink hat and holding an umbrella 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_94.jpg,a woman in a dress shirt and tie standing in a room 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_9.jpg,a woman standing in front of a tree talking on a cell phone 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_111.jpg,a group of people sitting around a table with laptops 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_101.jpg,a blue umbrella sitting on top of a building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_106.jpg,a large building with a clock on it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_100.jpg,a couple of men standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_92.jpg,a woman in a dress is holding a teddy bear 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_118.jpg,a large clock tower with a massive clock on it 's face 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_105.jpg,a large building with a clock on the top 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_11.jpg,a large building with a clock on the top 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_104.jpg,a group of boats floating on top of a lake 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_102.jpg,a white and blue train traveling down train tracks 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_120.jpg,a building with a clock on the front of it
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_114.jpg,a barn that has a bunch of animals in it
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_113.jpg,a group of people standing next to a fire hydrant 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_86.jpg,a woman in a dress and a tie is standing in a forest 
D:/SE2023-9.1/SDmodel/data/train\Vietnam ao dai\Image_0_91.jpg,a woman in a pink dress is talking on a cell phone 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_117.jpg,a large clock tower towering over a city 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_110.jpg,a building with a clock on the front of it
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_127.jpg,a white and blue train traveling down train tracks 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_109.jpg,a clock tower in the middle of a field 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_115.jpg,a tall clock tower with a sky background
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_123.jpg,a large building with a clock on the side of it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_107.jpg,a train traveling down tracks next to a forest 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_126.jpg,a blue umbrella sitting on top of a building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_116.jpg,a building with a clock on the side of it
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_121.jpg,a large clock tower towering over a city 
D:/SE2023-9.1/SDmodel/data/train\Vietnam architure\Image_1_112.jpg,a building with a clock on the front of it
